Configuration	Term	J	Prefix	Level (Ry)	Suffix	Uncertainty (Ry)	Leading percentages	Reference
"3p6.3d8"	"3F"	"4"	""	"0.00000"	""	""	" 100                                        "	"L9171"
"3p6.3d8"	"3F"	"3"	""	"0.02247"	""	""	" 100                                        "	""
"3p6.3d8"	"3F"	"2"	""	"0.03678"	""	""	"  98             :     2  3d8          1D   "	""
"3p6.3d8"	"1D"	"2"	""	"0.16767"	""	""	"  79             :    20  3d8          3P   "	""
"3p6.3d8"	"3P"	"2"	""	"0.20652"	""	""	"  80             :    19  3d8          1D   "	""
"3p6.3d8"	"3P"	"1"	""	"0.21057"	""	""	" 100                                        "	""
"3p6.3d8"	"3P"	"0"	""	"0.21424"	""	""	" 100                                        "	""
"3p6.3d8"	"1G"	"4"	""	"0.27885"	""	""	" 100                                        "	""
"3p6.3d8"	"1S"	"0"	""	"0.63701"	""	""	" 100                                        "	""
"3p6.3d7.(4F).4s"	"5F"	"5"	""	"1.813072"	""	""	"  99             :     1  3d7.(2G).4s  3G   "	""
"3p6.3d7.(4F).4s"	"5F"	"4"	""	"1.828403"	""	""	"  99             :     1  3d7.(4F).4s  3F   "	""
"3p6.3d7.(4F).4s"	"5F"	"3"	""	"1.840511"	""	""	"  99             :     1  3d7.(4F).4s  3F   "	""
"3p6.3d7.(4F).4s"	"5F"	"2"	""	"1.849226"	""	""	"  99             :     1  3d7.(2D2).4s 3D   "	""
"3p6.3d7.(4F).4s"	"5F"	"1"	""	"1.854868"	""	""	"  99             :     1  3d7.(2D2).4s 3D   "	""
"3p6.3d7.(4F).4s"	"3F"	"4"	""	"1.901952"	""	""	"  98             :     1  3d7.(4F).4s  5F   "	""
"3p6.3d7.(4F).4s"	"3F"	"3"	""	"1.922523"	""	""	"  99             :     1  3d7.(4F).4s  5F   "	""
"3p6.3d7.(4F).4s"	"3F"	"2"	""	"1.936182"	""	""	"  99             :     1  3d7.(2D2).4s 1D   "	""
"3p6.3d7.(4P).4s"	"5P"	"3"	""	"2.019653"	""	""	"  99             :     1  3d7.(2D2).4s 3D   "	""
"3p6.3d7.(4P).4s"	"5P"	"2"	""	"2.023396"	""	""	"  93             :     7  3d7.(2P).4s  3P   "	""
"3p6.3d7.(4P).4s"	"5P"	"1"	""	"2.031578"	""	""	"  96             :     4  3d7.(2P).4s  3P   "	""
"3p6.3d7.(2G).4s"	"3G"	"5"	""	"2.062506"	""	""	"  96             :     2  3d7.(2H).4s  3H   "	""
"3p6.3d7.(2G).4s"	"3G"	"4"	""	"2.070356"	""	""	"  92             :     4  3d7.(2G).4s  1G   "	""
"3p6.3d7.(2G).4s"	"3G"	"3"	""	"2.080743"	""	""	" 100                                        "	""
"3p6.3d7.(2P).4s"	"3P"	"2"	""	"2.099875"	""	""	"  46             :    43  3d7.(4P).4s  3P   "	""
"3p6.3d7.(4P).4s"	"3P"	"1"	""	"2.101511"	""	""	"  46             :    30  3d7.(2P).4s  3P   "	""
"3p6.3d7.(2P).4s"	"3P"	"0"	""	"2.106137"	""	""	"  56             :    44  3d7.(4P).4s  3P   "	""
"3p6.3d7.(2G).4s"	"1G"	"4"	""	"2.112598"	""	""	"  87             :     6  3d7.(2H).4s  3H   "	""
"3p6.3d7.(4P).4s"	"3P"	"2"	""	"2.114111"	""	""	"  55             :    36  3d7.(2P).4s  3P   "	""
"3p6.3d7.(2P).4s"	"3P"	"1"	""	"2.122759"	""	""	"  54             :    38  3d7.(4P).4s  3P   "	""
"3p6.3d7.(4P).4s"	"3P"	"0"	""	"2.137664"	""	""	"  56             :    44  3d7.(2P).4s  3P   "	""
"3p6.3d7.(2H).4s"	"3H"	"6"	""	"2.140074"	""	""	" 100                                        "	""
"3p6.3d7.(2D2).4s"	"3D"	"3"	""	"2.146932"	""	""	"  76             :    23  3d7.(2D1).4s 3D   "	""
"3p6.3d7.(2H).4s"	"3H"	"5"	""	"2.148125"	""	""	"  94             :     4  3d7.(2H).4s  1H   "	""
"3p6.3d7.(2P).4s"	"1P"	"1"	""	"2.149708"	""	""	"  43             :    29  3d7.(2D2).4s 3D   "	""
"3p6.3d7.(2H).4s"	"3H"	"4"	""	"2.159418"	""	""	"  90             :     8  3d7.(2G).4s  1G   "	""
"3p6.3d7.(2D2).4s"	"3D"	"2"	""	"2.159994"	""	""	"  64             :    17  3d7.(2D1).4s 3D   "	""
"3p6.3d7.(2D2).4s"	"3D"	"1"	""	"2.185607"	""	""	"  44             :    39  3d7.(2P).4s  1P   "	""
"3p6.3d7.(2H).4s"	"1H"	"5"	""	"2.191106"	""	""	"  95             :     3  3d7.(2H).4s  3H   "	""
"3p6.3d7.(2D2).4s"	"1D"	"2"	""	"2.203711"	""	""	"  68             :    18  3d7.(2D1).4s 1D   "	""
