# This file stores the index no. until which the Cloudy 'save energies/densities' from the .en file agree with the NIST database. At higher energies, they will start to diverge. The numbers for Cloudy 17.02 were manually confirmed by D. Linssen for each species. For C23.01, I only checked if the energies agree at least up to this number, so perhaps higher energy levels also agree in some cases. Some species are missing from this list, this is because they have no lines with the necessary coefficients in the NIST database and so there's no use saving their densities with Cloudy (even though the energies may in principle agree with those of NIST).
,idx_C17,atol_C17,idx_C23,atol_C23
H,21,0.001,21,0.001
He,43,0.001,43,0.001
He+,55,0.001,55,0.001
Li,15,0.001,15,0.001
Li+,9,0.001,9,0.001
Li+2,15,0.01,15,0.01
Be,15,0.001,15,0.001
Be+,15,0.001,15,0.001
Be+2,9,0.001,9,0.001
Be+3,15,0.01,15,0.01
B,15,0.001,15,0.001
B+,15,0.001,15,0.001
B+2,15,0.001,15,0.001
B+3,13,0.01,13,0.01
B+4,15,0.01,15,0.01
C,15,0.001,15,0.001
C+,15,0.001,15,0.001
C+2,15,0.001,15,0.001
C+3,15,0.001,15,0.001
C+4,31,0.01,31,0.01
C+5,15,0.01,15,0.01
N,50,0.001,50,0.001
N+,15,0.001,15,0.001
N+2,15,0.001,15,0.001
N+3,15,0.001,15,0.001
N+4,15,0.001,15,0.001
N+5,8,0.001,8,0.001
N+6,15,0.01,15,0.01
O,29,0.001,29,0.001
O+,15,0.001,15,0.001
O+2,15,0.001,15,0.001
O+3,15,0.001,15,0.001
O+4,15,0.001,15,0.001
O+5,15,0.001,15,0.001
O+6,8,0.001,8,0.001
O+7,15,0.01,15,0.01
F+,7,0.001,7,0.001
F+2,15,0.001,15,0.001
F+3,15,0.001,15,0.001
F+4,5,0.001,5,0.001
F+5,15,0.001,15,0.001
F+6,15,0.001,15,0.001
F+7,8,0.001,8,0.001
F+8,15,0.05,15,0.05
Ne,15,0.001,15,0.001
Ne+,2,0.001,2,0.001
Ne+2,14,0.001,14,0.001
Ne+3,15,0.001,15,0.001
Ne+4,15,0.001,15,0.001
Ne+5,15,0.001,15,0.001
Ne+6,15,0.05,15,0.05
Ne+7,15,0.001,15,0.001
Ne+8,8,0.001,8,0.001
Ne+9,15,0.05,15,0.05
Na,15,0.001,15,0.001
Na+,15,0.001,15,0.001
Na+2,3,0.001,3,0.001
Na+3,9,0.001,9,0.001
Na+4,13,0.001,13,0.001
Na+5,9,0.001,5,0.001
Na+6,15,0.001,15,0.001
Na+7,10,0.001,10,0.001
Na+8,15,0.001,15,0.001
Na+9,8,0.001,8,0.001
Na+10,15,0.05,15,0.05
Mg,15,0.001,15,0.001
Mg+,15,0.001,15,0.001
Mg+2,15,0.001,15,0.001
Mg+3,3,0.001,3,0.001
Mg+4,15,0.001,15,0.001
Mg+5,15,0.001,15,0.001
Mg+6,15,0.001,15,0.001
Mg+7,15,0.001,15,0.001
Mg+8,13,0.001,13,0.001
Mg+9,9,0.001,9,0.001
Mg+10,8,0.001,8,0.001
Mg+11,15,0.05,15,0.05
Al,15,0.001,15,0.001
Al+,15,0.001,15,0.001
Al+2,15,0.001,3,0.001
Al+3,15,0.001,15,0.001
Al+4,3,0.001,3,0.001
Al+5,15,0.001,15,0.001
Al+6,15,0.001,15,0.001
Al+7,9,0.001,9,0.001
Al+8,5,0.001,5,0.001
Al+9,10,0.001,10,0.001
Al+10,15,0.001,15,0.001
Al+11,8,0.001,8,0.001
Al+12,15,0.05,15,0.05
Si,15,0.001,15,0.001
Si+,15,0.001,15,0.001
Si+2,15,0.01,15,0.01
Si+3,15,0.001,15,0.001
Si+4,15,0.001,15,0.001
Si+5,8,0.001,8,0.001
Si+6,15,0.001,15,0.001
Si+7,15,0.05,15,0.05
Si+8,15,0.001,15,0.001
Si+9,15,0.001,15,0.001
Si+10,12,0.05,12,0.05
Si+11,15,0.01,15,0.01
Si+12,8,0.001,8,0.001
P,15,0.001,15,0.001
P+,15,0.001,15,0.001
P+2,8,0.001,8,0.001
P+3,15,0.001,15,0.001
P+4,15,0.001,15,0.001
P+5,15,0.001,15,0.001
P+6,3,0.001,3,0.001
P+7,10,0.001,10,0.001
P+8,15,0.001,15,0.001
P+9,15,0.001,15,0.001
P+10,15,0.001,15,0.001
P+11,10,0.001,10,0.001
P+12,15,0.001,15,0.001
S,15,0.001,15,0.001
S+,15,0.001,15,0.001
S+2,15,0.001,15,0.001
S+3,15,0.001,15,0.001
S+4,15,0.001,15,0.001
S+5,15,0.001,15,0.001
S+6,15,0.001,15,0.001
S+7,3,0.001,3,0.001
S+8,10,0.001,10,0.001
S+9,15,0.001,15,0.001
S+10,15,0.001,15,0.001
S+11,15,0.001,15,0.001
S+12,13,0.05,13,0.05
Cl,15,0.001,15,0.001
Cl+,5,0.001,5,0.001
Cl+2,5,0.001,5,0.001
Cl+3,5,0.001,5,0.001
Cl+4,15,0.001,15,0.001
Cl+5,15,0.001,15,0.001
Cl+6,5,0.01,5,0.01
Cl+7,1,0.001,1,0.001
Cl+8,15,0.001,15,0.001
Cl+9,8,0.001,8,0.001
Ar,15,0.001,15,0.001
Ar+,15,0.001,15,0.001
Ar+2,15,0.001,15,0.001
Ar+3,15,0.001,15,0.001
Ar+4,15,0.001,15,0.001
Ar+5,15,0.001,15,0.001
Ar+6,14,0.001,14,0.001
Ar+7,15,0.05,15,0.05
Ar+8,15,0.2,15,0.2
K,15,0.001,15,0.001
K+,15,0.001,15,0.001
K+2,15,0.001,15,0.001
K+3,15,0.001,15,0.001
K+4,5,0.001,5,0.001
K+5,5,0.001,5,0.001
K+6,2,0.001,2,0.001
K+7,15,0.001,15,0.001
K+8,15,0.001,15,0.001
K+9,15,0.001,15,0.001
K+10,3,0.001,3,0.001
K+11,10,0.01,10,0.01
K+12,15,0.001,15,0.001
Ca,15,0.001,15,0.001
Ca+,15,0.001,15,0.001
Ca+2,15,0.001,15,0.001
Ca+3,15,0.001,15,0.001
Ca+4,5,0.001,5,0.001
Ca+5,15,0.001,15,0.001
Ca+6,15,0.001,15,0.001
Ca+7,12,0.01,12,0.01
Ca+8,15,0.001,15,0.001
Ca+9,15,0.001,15,0.001
Ca+10,2,0.01,2,0.01
Sc,15,0.001,15,0.001
Sc+,15,0.001,15,0.001
Sc+2,15,0.001,15,0.001
Sc+3,15,0.001,15,0.001
Sc+4,15,0.001,15,0.001
Sc+6,15,0.001,15,0.001
Sc+7,15,0.001,15,0.001
Sc+8,2,0.001,2,0.001
Sc+9,15,0.001,15,0.001
Sc+10,15,0.001,15,0.001
Sc+11,12,0.001,12,0.001
Sc+12,12,0.001,12,0.001
Ti,1,0.001,1,0.001
Ti+,1,0.001,1,0.001
Ti+2,15,0.001,15,0.001
Ti+3,15,0.001,15,0.001
Ti+5,2,0.001,2,0.001
Ti+7,15,0.001,15,0.001
Ti+8,15,0.01,15,0.01
Ti+9,2,0.001,2,0.001
Ti+10,14,0.01,14,0.01
Ti+11,15,0.001,15,0.001
Ti+12,15,0.001,15,0.001
V,1,0.001,1,0.001
V+,1,0.001,1,0.001
V+2,1,0.001,1,0.001
V+7,15,0.001,15,0.001
V+8,15,0.001,15,0.001
V+9,15,0.001,15,0.001
V+10,2,0.001,2,0.001
V+11,15,0.001,15,0.001
V+12,15,0.001,15,0.001
Cr,1,0.001,1,0.001
Cr+,15,0.001,15,0.001
Cr+9,15,0.001,15,0.001
Cr+10,15,0.001,15,0.001
Cr+11,15,0.001,15,0.001
Cr+12,14,0.01,14,0.01
Mn,15,0.001,15,0.001
Mn+,1,0.001,1,0.001
Mn+10,15,0.001,15,0.001
Mn+11,15,0.001,15,0.001
Mn+12,15,0.001,15,0.001
Fe,15,0.001,15,0.001
